xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
34.955, 12.626, 1.5, 4000, 990, 18.59383292199999, -0.000358314, 0.00014459873622980993, -4.084889228442612e-06, -5.524905220247984, 9.8592905, 0.015459762097429067, 0.7962266078407667, 0.8812451562903643, 0.48099020836912676
34.955, 12.626, 1.4, 4316, 1050, 20.518295923999972, -0.000360347, 0.0001448579994762293, -4.121365228397874e-06, -6.220791415595157, 10.0587449, 0.01540098473673346, 0.7386662471757964, 0.8157101865136299, 0.4499585820227315
34.955, 12.626, 1.3, 4524, 1470, 21.906318676000012, -0.000360554, 0.00014503666341639343, -4.118856455510901e-06, -6.228428583875932, 10.064597599999999, 0.015136445818567277, 0.6662331933158596, 0.7777701778385774, 0.3374689365170426
34.955, 12.626, 1.2, 5130, 1554, 26.13015215000007, -0.000362483, 0.00014588816365113414, -4.146895822252312e-06, -6.589733547181783, 10.565532599999997, 0.014885137434519868, 0.5960179374866523, 0.6847250100361301, 0.31701627369782787
34.955, 12.626, 1.1, 5757, 1554, 28.489798868000094, -0.00036269, 0.00014531600227311625, -4.1577393709734995e-06, -6.592640004682838, 10.57050655, 0.014762718407275664, 0.5447457930870488, 0.6091607142857143, 0.31701627369782787
34.955, 12.626, 1.0, 6498, 1554, 33.41222673200002, -0.000363555, 0.0001458760432985033, -4.157001366735119e-06, -6.825939231099415, 10.90331635, 0.014264107193421853, 0.4946225704673104, 0.5390802781289508, 0.31701627369782787
34.955, 12.626, 0.9, 7564, 2106, 42.58268606499996, -0.0003648, 0.00014632330728528347, -4.170730151745941e-06, -6.851358095697124, 11.246369849999999, 0.014611740542922278, 0.4127680389766227, 0.4621731472700176, 0.23912084644636167
34.955, 12.626, 0.89, 7688, 2106, 44.421636517000024, -0.0003648, 0.00014632546411866501, -4.171288270105013e-06, -6.85136617435268, 11.246399199999999, 0.014631611548339116, 0.4075240838839279, 0.4546581367453019, 0.23912084644636167
34.955, 12.626, 0.88, 7688, 2106, 44.703684585999895, -0.0003648, 0.00014632546411866501, -4.171288270105013e-06, -6.85136617435268, 11.246399199999999, 0.014631611548339116, 0.4075240838839279, 0.4546581367453019, 0.23912084644636167
34.955, 12.626, 0.87, 7936, 2106, 45.087773480999886, -0.000364815, 0.00014608915447916168, -4.168978726606135e-06, -6.851390298913955, 11.246550449999999, 0.014583192226557197, 0.3974259954846511, 0.44033819543048924, 0.23912084644636167
