xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
28.425, -12.600000000000001, 0.87, 7808, 2052, 861.3409327769996, -1.20576, 0.10906550955359229, -0.036672928694220744, -12307.856806063537, 9316.8665, -61.981482294592844, 0.4051194386684637, 0.4476771653543307, 0.2461538125183135
28.425, -12.600000000000001, 0.86, 7808, 2052, 868.425521623999, -1.20576, 0.10906550955359229, -0.036672928694220744, -12307.856806063537, 9316.8665, -61.981482294592844, 0.4051194386684637, 0.4476771653543307, 0.2461538125183135
28.425, -12.600000000000001, 0.85, 7808, 2052, 863.7994669039999, -1.20576, 0.10906550955359229, -0.036672928694220744, -12307.856806063537, 9316.8665, -61.981482294592844, 0.4051194386684637, 0.4476771653543307, 0.2461538125183135
28.425, -12.600000000000001, 0.84, 7808, 2052, 864.3379512720003, -1.20576, 0.10906550955359229, -0.036672928694220744, -12307.856806063537, 9316.8665, -61.981482294592844, 0.4051194386684637, 0.4476771653543307, 0.2461538125183135
28.425, -12.600000000000001, 0.83, 7808, 2052, 870.049539923999, -1.20576, 0.10906550955359229, -0.036672928694220744, -12307.856806063537, 9316.8665, -61.981482294592844, 0.4051194386684637, 0.4476771653543307, 0.2461538125183135
28.425, -12.600000000000001, 0.82, 7930, 2052, 888.2049613050003, -1.20576, 0.10889761898577424, -0.03667162656233447, -12307.830008916932, 9316.842999999999, -62.03926298348807, 0.400148648009955, 0.44073643410852714, 0.2461538125183135
28.425, -12.600000000000001, 0.81, 8235, 2052, 907.4176111449997, -1.20577, 0.10888946574598812, -0.036671026853498254, -12302.089270911936, 9312.776, -62.10505999712813, 0.3882394620572777, 0.42429104477611945, 0.2461538125183135
28.425, -12.600000000000001, 0.8, 8505, 2160, 1008.1739719649995, -1.20573, 0.10891007155870433, -0.03667142598244472, -12301.094383936157, 9311.2965, -62.076931951660626, 0.37384923362030564, 0.4106042368801155, 0.23247860071174056
28.425, -12.600000000000001, 0.79, 8505, 2160, 1013.6657153100005, -1.20573, 0.10891007155870433, -0.03667142598244472, -12301.094383936157, 9311.2965, -62.076931951660626, 0.37384923362030564, 0.4106042368801155, 0.23247860071174056
28.425, -12.600000000000001, 0.78, 9180, 2640, 1532.9241482589987, -1.20559, 0.10915178975350673, -0.03666066160979605, -12315.02554813473, 9299.7825, -62.336511852544355, 0.3382414673757472, 0.37996212965025616, 0.19373216725979736
