sensortype,sensorlabel,xpostruck,inflinedata
accelarations,A9,16.875,9.72828804800632e-06
accelarations,A9,24.525,9.47824637439619e-06
accelarations,A9,32.175,8.42807134522605e-06
accelarations,A9,39.825,8.7147857976322e-06
accelarations,A9,47.475,8.56809468244919e-06
accelarations,A9,55.125,7.30455075846083e-06
accelarations,A9,62.775,-2.31755292548762e-05
accelarations,A9,70.425,1.98654485049825e-05
accelarations,A9,78.075,-1.96782797132853e-05
accelarations,A9,85.725,-3.76712785464233e-05
accelarations,A9,93.375,1.8169694949159e-05
accelarations,A9,99.75,-9.69494915819256e-06
accelarations,A10,10.5,-1.34955825970987e-05
accelarations,A10,16.875,-1.08684780796703e-06
accelarations,A10,24.525,8.17802967161322e-06
accelarations,A10,32.175,-8.70145024170715e-06
accelarations,A10,39.825,-1.18186364393941e-06
accelarations,A10,47.475,2.03317219536614e-05
accelarations,A10,55.125,3.79229871645161e-06
accelarations,A10,62.775,-4.99583263877156e-06
accelarations,A10,70.425,-3.20764119601249e-06
accelarations,A10,78.075,-2.55809301550275e-05
accelarations,A10,85.725,-9.12652108684808e-06
accelarations,A10,93.375,2.30455075845979e-05
accelarations,A10,99.75,1.46874479079868e-05
accelarations,A11,10.5,4.23203867311219e-05
accelarations,A11,16.875,7.1846974495749e-05
accelarations,A11,24.525,5.80196699449909e-05
accelarations,A11,32.175,6.12768794799132e-05
accelarations,A11,39.825,4.98599766627772e-05
accelarations,A11,47.475,6.61193532255375e-05
accelarations,A11,55.125,4.83813968994832e-05
accelarations,A11,62.775,1.30055009168195e-05
accelarations,A11,70.425,1.90332225913621e-05
accelarations,A11,78.075,-5.63427237872977e-06
accelarations,A11,85.725,1.63510585097516e-05
accelarations,A11,93.375,-1.11618603100517e-05
accelarations,A11,99.75,-3.94515752625437e-05
accelarations,A12,10.5,0.000269134855809301
accelarations,A12,16.875,0.000336034339056509
accelarations,A12,24.525,0.000317397899649939
accelarations,A12,32.175,0.000158051341890315
accelarations,A12,39.825,2.03667277879648e-05
accelarations,A12,47.475,-6.8223037172862e-05
accelarations,A12,55.125,-9.06234372395401e-05
accelarations,A12,62.775,-0.000203333888981497
accelarations,A12,70.425,-0.000198970099667774
accelarations,A12,78.075,-0.000288321386897816
accelarations,A12,85.725,-0.00030242707117853
accelarations,A12,93.375,-0.000603382230371727
accelarations,A12,99.75,-0.000847136189364894
accelarations,AO1,10.5,NaN
accelarations,AO1,16.875,NaN
accelarations,AO1,24.525,NaN
accelarations,AO1,32.175,NaN
accelarations,AO1,39.825,NaN
accelarations,AO1,47.475,NaN
accelarations,AO1,55.125,NaN
accelarations,AO1,62.775,NaN
accelarations,AO1,70.425,NaN
accelarations,AO1,78.075,NaN
accelarations,AO1,85.725,NaN
accelarations,AO1,93.375,NaN
accelarations,AO1,99.75,NaN
accelarations,AO2,10.5,NaN
accelarations,AO2,16.875,NaN
accelarations,AO2,24.525,NaN
accelarations,AO2,32.175,NaN
accelarations,AO2,39.825,NaN
accelarations,AO2,47.475,NaN
accelarations,AO2,55.125,NaN
accelarations,AO2,62.775,NaN
accelarations,AO2,70.425,NaN
accelarations,AO2,78.075,NaN
accelarations,AO2,85.725,NaN
accelarations,AO2,93.375,NaN
accelarations,AO2,99.75,NaN
accelarations,AO3,10.5,NaN
accelarations,AO3,16.875,NaN
accelarations,AO3,24.525,NaN
accelarations,AO3,32.175,NaN
accelarations,AO3,39.825,NaN
accelarations,AO3,47.475,NaN
accelarations,AO3,55.125,NaN
accelarations,AO3,62.775,NaN
accelarations,AO3,70.425,NaN
accelarations,AO3,78.075,NaN
accelarations,AO3,85.725,NaN
accelarations,AO3,93.375,NaN
accelarations,AO3,99.75,NaN
accelarations,AO4,10.5,NaN
accelarations,AO4,16.875,NaN
accelarations,AO4,24.525,NaN
accelarations,AO4,32.175,NaN
accelarations,AO4,39.825,NaN
accelarations,AO4,47.475,NaN
accelarations,AO4,55.125,NaN
accelarations,AO4,62.775,NaN
accelarations,AO4,70.425,NaN
accelarations,AO4,78.075,NaN
accelarations,AO4,85.725,NaN
accelarations,AO4,93.375,NaN
accelarations,AO4,99.75,NaN
accelarations,AO5,10.5,NaN
accelarations,AO5,16.875,NaN
accelarations,AO5,24.525,NaN
accelarations,AO5,32.175,NaN
accelarations,AO5,39.825,NaN
accelarations,AO5,47.475,NaN
accelarations,AO5,55.125,NaN
accelarations,AO5,62.775,NaN
accelarations,AO5,70.425,NaN
accelarations,AO5,78.075,NaN
accelarations,AO5,85.725,NaN
accelarations,AO5,93.375,NaN
accelarations,AO5,99.75,NaN
temperature,temp,10.5,-0.0377596266050801
temperature,temp,16.875,-0.0127637939658207
temperature,temp,24.525,-0.00859143190515255
temperature,temp,32.175,-0.0239739956664895
temperature,temp,39.825,-0.00541923653916321
temperature,temp,47.475,-0.0236572762126155
temperature,temp,55.125,-0.0116519419899745
temperature,temp,62.775,-0.0242740456740016
temperature,temp,70.425,0.00398671096339953
temperature,temp,78.075,0.0194965827640452
temperature,temp,85.725,0.0357759626598142
temperature,temp,93.375,0.0424337389564826
temperature,temp,99.75,0.0264944157354208
strains,T11,10.5,-0.321337549591599
strains,T11,16.875,0.0809142797132866
strains,T11,24.525,0.153333810301717
strains,T11,32.175,0.146541452242041
strains,T11,39.825,0.0938902430405073
strains,T11,47.475,-0.0431800996166029
strains,T11,55.125,-0.66022578829805
strains,T11,62.775,1.17982904884148
strains,T11,70.425,6.52136802657809
strains,T11,78.075,-0.488958115019169
strains,T11,85.725,-0.266561094582431
strains,T11,93.375,0.00294232278713121
strains,T11,99.75,0.0360200940156707
strains,T12,10.5,-0.24584984564094
strains,T12,16.875,0.0440129161526926
strains,T12,24.525,0.164779513918987
strains,T12,32.175,0.112622595099183
strains,T12,39.825,0.0480038966494417
strains,T12,47.475,-0.0256378931155194
strains,T12,55.125,-0.513229060843473
strains,T12,62.775,0.748384953492248
strains,T12,70.425,6.71254300332228
strains,T12,78.075,-0.336612460743458
strains,T12,85.725,-0.311372151358559
strains,T12,93.375,-0.014484064744124
strains,T12,99.75,0.036496285380897
strains,T13,10.5,-0.404504593432239
strains,T13,16.875,0.128306554425738
strains,T13,24.525,0.284544260043339
strains,T13,32.175,0.198806393065511
strains,T13,39.825,0.0443119902650434
strains,T13,47.475,-0.0380319773962329
strains,T13,55.125,-0.670447251208536
strains,T13,62.775,0.817273710951825
strains,T13,70.425,13.1397468039866
strains,T13,78.075,-0.492028914819137
strains,T13,85.725,-0.682823519919986
strains,T13,93.375,-0.00197780210035054
strains,T13,99.75,0.100795078513085
strains,T14,10.5,-0.407113538923153
strains,T14,16.875,0.131989071511919
strains,T14,24.525,0.25345901716953
strains,T14,32.175,0.271073286881145
strains,T14,39.825,0.0664558179696625
strains,T14,47.475,-0.0350805227537922
strains,T14,55.125,-0.444262316386064
strains,T14,62.775,0.446734574429071
strains,T14,70.425,11.0503866312293
strains,T14,78.075,-0.486621850975162
strains,T14,85.725,-0.838414567094514
strains,T14,93.375,-0.047300592098683
strains,T14,99.75,0.0724875665944323
strains,T15,10.5,-0.403644768794799
strains,T15,16.875,0.2160908498083
strains,T15,24.525,0.299802857809635
strains,T15,32.175,0.247168646774463
strains,T15,39.825,0.105890064344057
strains,T15,47.475,-0.0204485375562591
strains,T15,55.125,-0.31726674445741
strains,T15,62.775,0.268074614435739
strains,T15,70.425,10.5653363322259
strains,T15,78.075,-0.388527868644774
strains,T15,85.725,-0.91117676546091
strains,T15,93.375,-0.0226860492748789
strains,T15,99.75,0.0455109998333056
strains,T16,10.5,-0.396809104850808
strains,T16,16.875,0.145253977662943
strains,T16,24.525,0.23468560426738
strains,T16,32.175,0.213401004834139
strains,T16,39.825,0.0266134335722618
strains,T16,47.475,-0.0087915972662106
strains,T16,55.125,-0.30768711531922
strains,T16,62.775,0.132704156026004
strains,T16,70.425,10.1694371827241
strains,T16,78.075,-0.433527354559094
strains,T16,85.725,-1.01358788331389
strains,T16,93.375,-0.0471298563093846
strains,T16,99.75,0.0511145350891808
strains,T17,10.5,-0.922778945824305
strains,T17,16.875,0.298590683113854
strains,T17,24.525,0.465142869144858
strains,T17,32.175,0.444185369561591
strains,T17,39.825,0.0442252848808133
strains,T17,47.475,0.00755584530755149
strains,T17,55.125,-0.323805425037506
