sensortype,sensorlabel,xpostruck,infline1,infline2
strains,B3,19,0.38817707141875,1.2118089202625
strains,B3,20,-0.011211038336625,0.043605451166875
strains,B3,21,-0.18454390988375,-0.58600683711875
strains,B3,22,-0.2645153334875,-0.8902706445125
strains,B3,23,-0.29249576266875,-0.9658713722875
strains,B3,24,-0.28996525330625,-0.95052169103125
strains,B3,25,-0.2693505542625,-0.8816731429875
strains,B3,26,-0.2386231601625,-0.7825986308125
strains,B3,27,-0.20291883765,-0.66503660486875
strains,B3,28,-0.1658405652725,-0.5465464660625
strains,B3,29,-0.12955975391875,-0.4297817458375
strains,B3,30,-0.09416703474375,-0.3184393240375
strains,B3,31,-0.06254236124625,-0.215829885775
strains,B3,32,-0.03588091249875,-0.12616560053875
strains,B3,33,-0.014270968290125,-0.0524360512575
strains,B3,34,0.0022248340372675,0.007329068091775
strains,B3,35,0.01476194882775,0.048605153861375
strains,B3,36,0.023370866583,0.07699441800025
strains,B3,37,0.027952038561625,0.0949931764935
strains,B3,38,0.030232969675,0.10474558854425
strains,B3,39,0.03059907598875,0.106444331159625
strains,B3,40,0.02939176604425,0.102373621225375
strains,B3,41,0.02700494283275,0.09333051472725
strains,B3,42,0.023805428992875,0.08134790614025
strains,B3,43,0.02013874417925,0.067775623747375
strains,B3,44,0.016286218746125,0.0534297996575
strains,B3,45,0.01246122525075,0.04006318152
strains,B3,46,0.00883871922075,0.0277423879145
strains,B3,47,0.005606705825,0.016740713854125
strains,B3,48,0.0027752307943625,0.0084279202136875
strains,B3,49,0.00072762505298125,0.002132934569475
strains,B3,50,-0.00073364888373375,-0.0016327515910875
strains,B3,51,-0.00174459398295,-0.00359026162963412
strains,B3,52,-0.00223207446155,-0.004405169972525
strains,B3,53,-0.002423745387,-0.00446272233055
strains,B3,54,-0.00226126332725,-0.00401327645617
strains,B3,55,-0.001897010115625,-0.003221168771425
strains,B3,56,-0.0014080674076375,-0.002227844942875
strains,B3,57,-0.0008698225856,-0.00117540841295
strains,B3,58,-0.0003690073450825,-0.0002023819144475
strains,B3,59,4.87397574256249e-05,0.00057609867897525
strains,B3,60,0.0003524452853575,0.00109350971636625
strains,B3,61,0.000520668581785,0.00122497319072875
strains,B3,62,0.000533926965737,0.0011380649152325
strains,B3,63,0.00038487024884375,0.00072654040115
strains,B3,64,4.8867090275125e-05,-1.37003059495e-05
strains,B3,65,-0.00034347390029625,-0.0009765856956825
strains,B3,66,-0.000758895567615,-0.0020399876530625
strains,B3,67,-0.00112777174526875,-0.0029507935093625
strains,B3,68,-0.00140091742663,-0.0035970030737125
strains,B3,69,-0.0015634035400725,-0.0039710964511625
strains,B3,70,-0.001611744834535,-0.004081991936
