53843K79J 79J2019032918430043   NP  0000    0.00              39992   29.795  29.789  29.778   69   48          
53843K79J 79J2019032918440044   NP  0000    0.00              39992   29.795  29.789  29.778   69   48          
53843K79J 79J2019032918450045   NP  0000    0.00              39992   29.795  29.789  29.778   68   48          
53843K79J 79J2019032918460046   NP  0000    0.00              39992   29.795  29.789  29.778   68   48          
53843K79J 79J2019032918470047   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918480048   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918490049   NP  0000    0.00              39992   29.795  29.789  29.778   68   48          
53843K79J 79J2019032918500050   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918510051   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918520052   NP  0000    0.00              39992   29.795  29.790  29.778   68   49          
53843K79J 79J2019032918530053   NP  0000    0.00              39992   29.796  29.790  29.778   68   49          
53843K79J 79J2019032918540054   NP  0000    0.00              39992   29.796  29.790  29.778   67   49          
53843K79J 79J2019032918550055   NP  0000    0.00              39992   29.796  29.790  29.778   68   49          
53843K79J 79J2019032918560056   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918570057   NP  0000    0.00              39992   29.795  29.789  29.778   68   49          
53843K79J 79J2019032918580058   NP  0000    0.00              39991   29.795  29.789  29.777   68   49          
53843K79J 79J2019032918590059   NP  0000    0.00              39992   29.794  29.788  29.777   68   49          
53843K79J 79J2019032919000100   NP  0000    0.00              39992   29.794  29.788  29.776   67   49          
53843K79J 79J2019032919010101   NP  0000    0.00              39991   29.793  29.787  29.776   67   49          
53843K79J 79J2019032919020102   NP  0000    0.00              39991   29.793  29.787  29.776   67   49          
53843K79J 79J2019032919030103   NP  0000    0.00              39991   29.793  29.786  29.775   67   49          
53843K79J 79J2019032919040104   NP  0000    0.00              39991   29.792  29.786  29.775   67   49          
53843K79J 79J2019032919050105   NP  0000    0.00              39991   29.792  29.786  29.775   67   49          
53843K79J 79J2019032919060106   NP  0000    0.00              39991   29.792  29.786  29.775   67   49          
53843K79J 79J2019032919070107   NP  0000    0.00              39991   29.792  29.786  29.775   67   49          
53843K79J 79J2019032919080108   NP  0000    0.00              39991   29.793  29.786  29.775   67   49          
53843K79J 79J2019032919090109   NP  0000    0.00              39991   29.793  29.787  29.775   67   49          
53843K79J 79J2019032919100110   NP  0000    0.00              39991   29.793  29.787  29.776   67   49          
53843K79J 79J2019032919110111   NP  0000    0.00              39991   29.793  29.787  29.776   66   49          
53843K79J 79J2019032919120112   NP  0000    0.00              39991   29.794  29.788  29.776   66   49          
53843K79J 79J2019032919130113   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919140114   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919150115   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919160116   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919170117   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919180118   NP  0000    0.00              39991   29.794  29.788  29.777   66   49          
53843K79J 79J2019032919190119   NP  0000    0.00              39991   29.795  29.789  29.777   66   49          
53843K79J 79J2019032919200120   NP  0000    0.00              39991   29.795  29.789  29.778   66   49          
53843K79J 79J2019032919210121   NP  0000    0.00              39991   29.795  29.789  29.778   66   49          
53843K79J 79J2019032919220122   NP  0000    0.00              39991   29.796  29.790  29.778   65   49          
53843K79J 79J2019032919230123   NP  0000    0.00              39991   29.796  29.790  29.779   65   50          
53843K79J 79J2019032919240124   NP  0000    0.00              39991   29.796  29.790  29.779   65   49          
53843K79J 79J2019032919250125   NP  0000    0.00              39991   29.797  29.790  29.779   65   50          
53843K79J 79J2019032919260126   NP  0000    0.00              39991   29.796  29.790  29.779   65   50          
53843K79J 79J2019032919270127   NP  0000    0.00              39991   29.796  29.790  29.779   65   50          
53843K79J 79J2019032919280128   NP  0000    0.00              39991   29.796  29.790  29.779   65   50          
53843K79J 79J2019032919290129   NP  0000    0.00              39991   29.797  29.791  29.779   65   49          
53843K79J 79J2019032919300130   NP  0000    0.00              39991   29.797  29.791  29.779   65   49          
53843K79J 79J2019032919310131   NP  0000    0.00              39991   29.797  29.791  29.780   65   50          
53843K79J 79J2019032919320132   NP  0000    0.00              39991   29.797  29.791  29.780   64   50          
53843K79J 79J2019032919330133   NP  0000    0.00              39991   29.797  29.791  29.780   64   49          
53843K79J 79J2019032919340134   NP  0000    0.00              39991   29.797  29.791  29.779   64   49          
53843K79J 79J2019032919350135   NP  0000    0.00              39991   29.797  29.791  29.780   64   49          
53843K79J 79J2019032919360136   NP  0000    0.00              39991   29.798  29.792  29.780   65   49          
53843K79J 79J2019032919370137   NP  0000    0.00              39991   29.798  29.792  29.781   75   49          
53843K79J 79J2019032919380138   NP  0000    0.00              39991   29.799  29.793  29.781   65   50          
53843K79J 79J2019032919390139   NP  0000    0.00              39991   29.799  29.793  29.782   65   50          
53843K79J 79J2019032919400140   NP  0000    0.00              39991   29.799  29.793  29.782   65   50          
53843K79J 79J2019032919410141   ?2  0000    0.00              39991   29.800  29.794  29.782   64   50          
53843K79J 79J2019032919420142   NP  0000    0.00              39991   29.800  29.794  29.783   64   50          
53843K79J 79J2019032919430143   NP  0000    0.00              39991   29.801  29.795  29.784   64   50          
53843K79J 79J2019032919440144   NP  0000    0.00              39991   29.801  29.795  29.784   64   50          
53843K79J 79J2019032919450145   NP  0000    0.00              39991   29.802  29.796  29.784   64   49          
